SENTENCE,LAST_WORD 
ở đây với phu nhân của,em
cô ấy là củ cải trong món canh củ,cải
là chiếc lông trên nón,em
người duy nhất em cảm thấy bị hấp,dẫn
anh cũng cảm thấy như vậy về,kyle
người bạn thuần khiết của anh từ chỗ,làm
chỉ mình em thấy hay có vẻ,như
ta đã đụng một người phụ nữ gypsy,già
đúng vậy một người phụ nữ gypsy,già
tốt lắm,barnovski
à bà ta chỉ là một nông,dân
về nhà thôi,smirnoff
chờ đã bà ta đang nói gì,đó
hứng tình,hơn
hứng tình,hơn
hứng tình,hơn
chết,tiệt
bà ta mới nguyền rủa ta,sao
vớ vẩn em,trai
được rồi đi thôi,smirnoff
,smirnoff
chết,tiệt
smirnoff tôi sẽ cưỡi,anh
như bức tường,kremlin
chuyện gì đang xảy ra với anh,thế
anh không thấy,sao
anh đang hứng tình hơn anh,trai
như bà già gypsy đã,nói
ôi chào,em
đã bao giờ từng thử,qua
người nga da trắng,chưa
trong vòng 200 năm kế,tiếp
mỗi một thành viên,nam
trong gia đình,stinson
bị lời nguyền của người đàn bà,gypsy
nguyền,rủa
cơn đói tình không thể dập,tắt
không mối quan hệ cam kết,nào
có thể làm thỏa,mãn
đó là đến khi anh trai tôi,james
gặp bạn đời anh ấy,tom
ngày họ kết hôn họ đã phá,hủy
lời nguyền mãi,mãi
giải phóng tôi khỏi gọng,kiềm
của việc ngủ với nhiều phụ nữ khác,nhau
mặc dù đôi khi robin và,tôi
vẫn dùng gọng,kiềm
đập tay kiểu nô lệ,nào
,ôi
anh không,thể
barney nghe,đây
cảm ơn,linus
chuyện này tệ hơn tôi,nghĩ
tôi biết showtime không có kênh,hbo
,không
tom và tôi đang ly,hôn
,sao
,sao
đó là lý do anh nhìn đẹp trai,hơn
tôi nhìn nóng bỏng hơn khi tôi độc,thân
da anh nhìn rất,tuyệt
nhìn rất tuyệt tôi,biết
vậy chuyện gì đã xảy,ra
sao hai người lại chia,tay
ừ thì chuyện cần nhớ là,khi
những chuyện thế này xảy,ra
không phải lỗi của,ai
anh ngoại,tình
nhiều,lần
tôi đã nghĩ về việc giữ im,lặng
nhưng sau đó tôi nhận,ra
không phải gia đình tôi muốn,tôi
thành thật về những tin trọng đại vậy,sao
ồ tôi có thể nói năm điều được,không
anh bị cái quái,gì
xin lỗi sáu từ,vậy
cái,gì
tôi rất tiếc về anh và,tom
nhưng anh không thể ném một quả,bom
gần ngày đám cưới người khác như,vậy
anh đã phá hủy lời,nguyền
anh và tom là cặp đôi duy,nhất
khiến barney tin tưởng vào hôn,nhân
thật sao cặp đôi duy,nhất
ý tôi là cậu không nghĩ đến ai khác,sao
họ đã bên nhau 17,năm
cô ấy là cô gái tóc đỏ can,trường
anh ấy có bắp,chân
làm hàng ngàn cô gái hứng,tình
xin lỗi về việc vừa,rồi
này mọi người có biết chủ,nhật
là kỷ niệm ngày cưới của james và,tom
hay,nhỉ
chúng ta có lễ kỷ niệm,chung
mỗi năm chúng ta nên ra,ngoài
và ăn mừng chỉ hai chúng,ta
nghe này em trai,em
em,biết
làm ơn barney em không cần,phải
mua quà kỷ niệm cho bọn anh năm,nay
cậu tặng họ quà kỷ niệm,sao
sao lại không họ là cặp đôi duy,nhất
khiến tôi tin hôn nhân là có,thể
ý tôi là tôi đang ngồi ngay,đây
cảm ơn,linus
barney chuyện,là
bịt tai anh lại và hát nhẩm,bài
the battle hymn of the republic,đi
tại,sao
vì cô,dâu
à là,vì
được rồi nghe này anh họ vince của,tôi
là cảnh sát hoàng gia,canada
bạn gái anh ấy ở,nhà
nhưng anh ấy trở nên đồng tính ở đám,cưới
anh ấy là của anh tôi tặng vince cho,anh
làm ơn đừng nói với,barney
nếu anh ấy biết cuộc hôn nhân thành,công
duy nhất trong đời anh ấy đã kết,thúc
mình ghét mọi người bàn,này
anh ấy sẽ,hoảng
em không muốn anh ấy hoảng,loạn
robin hãy có lòng tin một,chút
cô thật sự nghĩ sợi dây giữa cô và,barney
mỏng manh vậy,sao
tôi không muốn tìm hiểu việc,đó
được,rồi
cảm ơn anh,yêu
không có,gì
vậy james nghiêm túc đấy tom đâu,rồi
anh ấy không đến,được
anh ấy phải đi nhổ răng,khôn
việc đó thêm việc ly dị,nữa
thật là khó,khăn
ôi,trời
cậu ấy đang nói gì,vậy
tom và anh đang ly,hôn
xin,lỗi
,vince
không có cửa nữa,nhé
cậu làm gì,thế
tôi không biết chỉ lỡ,miệng
đủ rồi còn chưa đến giữa,trưa
cậu không được uống,nữa
cảm ơn,linus
cảm ơn,linus
cảm ơn,linus
cảm ơn,linus
cảm ơn,linus
được rồi sau ly đó không uống,nữa
không anh sẽ không làm điều,này
tránh xa khỏi cái bàn,đó
em đang nói gì,vậy
anh vừa mới biết chuyện james và,tom
và nó làm anh hoảng,loạn
bây giờ anh đang nhờ gã,này
chỉ anh đến câu lạc bộ thoát,y
gần nhất dơ bẩn,nhất
à khó,đấy
à nơi gần nhất khá dơ bẩn là sand,box
nhưng nơi dơ bẩn nhất gần,đây
là crab,shed
anh bạn,à
xin,lỗi
nhưng này nếu anh,đi
có lẽ anh nên dẫn ted,theo
tôi rất lo lắng về tên nhóc,đó
không robin anh không,đến
câu lạc bộ thoát,y
đặc biệt là bây giờ tưởng,tượng
không khí ban ngày ở crab shed,xem
,robin
anh đến bàn lễ tân để lấy thứ,này
đó là chìa khóa phòng chúng ta,à
là chìa khóa phòng,james
tình yêu thật tuyệt,vời
ôi,trời
cái gì,thế
đó là bánh gợi,tình
anh muốn làm họ ngạc,nhiên
vào lễ kỷ niệm của,họ
đó là james và tom,à
bánh hạnh nhân,caramen
và hạnh nhân sô cô,la
em thích bánh hạnh nhân sô cô,la
tom cũng vậy dù sao thì từng như,vậy
chuyện này thật,sự
là điều lạ lùng,nhất
ai đó từng làm cho anh em của,họ
em yêu anh rất,nhiều
em đã nghĩ anh sẽ hoảng,loạn
ừ thì ý em là một phụ nữ,gypsy
đã nguyền rủa gia đình anh hứng tình,hơn
và chơi vài màn ghi ta tuyệt,vời
anh có thể trách em,sao
nghe này anh có buồn về,việc
james và tom đang ly dị không tất,nhiên
,nhưng
anh không cần họ để khiến,anh
tin vào tình yêu thật sự,nữa
giờ anh đã có em để tin,nó
ôi trời bây giờ anh phải,nghĩ
nên làm gì với những thứ,này
chà trước khi ta làm điều,đó
có ổn không nếu em nhấm,nháp
chỗ đó của anh trai,anh
chúng ta cùng nhấm,nháp
chỗ đó của anh trai anh,nhé
em thích việc,đó
vậy là họ dọn tất cả những thứ,đó
ra khỏi phòng và nói chuyện cùng,james
và barney không hoảng loạn vì các con,à
khi các con tin vào người,khác
họ sẽ không làm các con thất,vọng
để rõ ràng tôi sẽ chọn,nhạc
tất nhiên,rồi
nói,đi
nói daphne chọn,nhạc
daphne chọn,nhạc
và anh trả tiền,xăng
cô đang đùa sao cô có,biết
thứ này tốn bao nhiêu xăng,không
không được rồi tôi trả tiền,xăng
tốt bây giờ lên,đi
còn một chặng đường dài tới,phoenix
tôi xin lỗi cái,gì
tôi chỉ đang đùa thôi ôi sẽ vui lắm,đây
đây hẳn là bàn người độc,thân
chắc là,vậy
ừ thì khá là thoải,mái
khi được hỏi câu hỏi,này
thay vì phải trả lời,nó
anh thế nào,rồi
tôi không,biết
tôi đang cố vui,vẻ
cho em trai tôi,nhưng
tôi đoán một,người
sẽ có một cái nhìn khác về đám,cưới
khi anh ta biết điều,gì
đang chờ đợi ở cuối con,đường
nó không phủ,đầy
rượu champagne và bánh,kem
anh stinson phòng của anh đã sẵn,sàng
và,ted
cô ấy sắp đến,rồi
cảm ơn,curtis
tôi cũng cảm thấy như,vậy
không là người dọn,phòng
cô ấy ở trong căn phòng gần phòng,anh
à,vâng
vậy trễ nhất một tiếng,nữa
được rồi gặp anh sau,ted
anh sẽ không bỏ cuộc,james
và tôi cũng,vậy
chào người,đẹp
,chào
ôi chúa ơi em trông tuyệt,lắm
cái gì thôi,nào
thật,mà
em đã ở trong xe suốt buổi,sáng
em vừa ăn một mẩu bánh sừng,bò
em tìm thấy trong áo,ngực
em thật kinh,tởm
ừ anh đã thấy em làm,thế
và nó rất nóng,bỏng
đến đây,nào
anh đến,đây
không anh đến,đây
đến,đây
muốn nghe một việc buồn cười,không
,ừ
ngày này một năm trước,đây
chính xác giây phút,này
anh đang ngồi ngay chiếc bàn,này
ở ghế bên,đó
ừ em có thể thấy,nó
để thêm ba miếng,chanh
vào cốc gin và tonic của,anh
chơi ô,chữ
có lẽ cũng thể hiện về việc,đó
anh không thể,hiện
vesuvius chính,xác
ồ chờ đã nó không,vừa
quan trọng là ngày này một năm,trước
ngay ở chiếc bàn,này
anh đã hứa với bản thân,mình
lời hứa đó là,gì
anh sẽ quay lại và anh sẽ mang em,theo
chờ đã dừng ở,đó
ngày này một năm,trước
anh còn chưa gặp,em
đúng nhưng anh biết anh sẽ,gặp
và bây giờ đã là một năm,sau
và em ở,đây
em ở,đây
tình yêu trong mắt,em
đồ ăn kẹt trong đồ lót của,em
,ừ
anh đã,chọn
một cô gái bản lĩnh đấy,mosby
đúng,vậy
được rồi thật sự đấy tại,sao
những cái phòng này lâu như,thế
năm ngoái cũng như,vậy
anh sẽ quay lại,ngay
em sẽ đợi ở,đây
xin lỗi đã lâu như,vậy
làm,ơn
cố gắng tận,hưởng
tôi sẽ như,thế
cố,gắng
tôi sẽ tận,hưởng
cố,gắng
sẽ không,cố
chỉ làm thế,thôi
,tốt
không tốt cho,tôi
không chỉ hoàn toàn bình thường,thôi
giỏi lắm,nhóc
không phải,nhóc
sẽ tốt,hơn
tôi ổn curtis được,chứ
tôi tận hưởng và trân,trọng
hạnh phúc của người,khác
dù tôi có ở trong một mối quan,hệ
hay không được chứ,curtis
vậy cứ đưa,tôi
một chiếc chìa khóa phòng vì tôi,ổn
ôi thôi,nào
mình cần một ly,nữa
,1
thứ,sáu
2 00,chiều
52 tiếng trước lễ,cưới
thợ làm tóc sẽ đến vào 2 00 ngày chủ,nhật
tuyệt và trong lúc em làm,tóc
anh sẽ đi xem con gấu mang,nhẫn
em xin,lỗi
anh đang nói người mang,nhẫn
đúng,không
con gấu mang,nhẫn
được rồi nhìn vào mắt em và,nói
anh hứa anh sẽ không,mang
một con thú hoang nguy hiểm đến đám,cưới
,anh
xe buýt,chở
các cô chú họ hàng lớn tuổi đã,đến
có chín bước từ xe buýt đến cửa,trước
nghĩa là ta chỉ còn khoảng 45,phút
trước khi họ vào tới,đây
ta sẽ không còn thời gian riêng,tư
một khi đám người già,đó
bám chúng ta như,đỉa
nhưng họ là gia đình và em yêu,họ
sợi dây kết nối với lịch,sử
ôi chúa ơi chuyện này sẽ khó,đây
ông bà cố của,em
không bao giờ ngừng cãi,nhau
nhưng em đoán đó là điều sẽ xảy,ra
khi chúng ta kết hôn tới 60,năm
sáu mươi,năm
ôi trời em nghĩ lần cuối họ quan,hệ
là khi,nào
có lẽ từ khi đội maple,leafs
giành được,cúp
năm,1967
chúng ta sẽ không như vậy đúng,không
kiểu khi chúng ta kết,hôn
ta sẽ không quan hệ mà toàn cãi nhau,thôi
cái gì không đời,nào
là chúng ta mà tàu r và b hư,hỏng
điều đó sẽ không bao giờ xảy ra,đâu
phải quan hệ,ngay
phải quan hệ,ngay
các con chắc các con còn,nhớ
chú marshall đã bị,đuổi
khỏi chuyến bay của chú ấy từ,minnesota
và bây giờ đang vắt giò lên,cổ
chạy xuyên quốc,gia
với một hành khách bị kẹt khác tên,daphne
thế nào rồi anh,yêu
ổn,cả
trừ chuyện ngọn lửa của,lucifer
cứ gào rú ở thùng sau xe khi bọn,anh
đi qua vùng địa,ngục
ngập tràn mùi phô mai,này
,wisconsin
,wisconsin
vùng của,packers
nhưng đừng,lo
những người đàn ông,eriksen
đang khoác bộ áo tím và vàng như các,sếp
tiến lên,vikings
tiến lên,vikings
cô thì sao,daphne
không tệ xét đến việc,marshall
vẫn lảm nhảm mấy chuyện vớ vẩn về,vikings
suốt một tiếng,qua
biết đội tôi không quan tâm đã dẫn,đầu
năm ngoái ở giải thể thao ngớ ngẩn,chứ
dù sao nghe này anh sẽ về,kịp
cho bữa tối diễn tập ngày,mai
à bữa tối diễn,tập
daphne lẽ ra,cô
nên nhìn thấy bộ váy tôi định,mặc
phần trên nó ôm các cô bé,lại
như đêm ra mắt của bộ,phim
sex and the,city
và phía dưới nó khiến cho bà mẹ,này
trông như một giấc,mơ
mà sir mix a,lot
không bao giờ muốn thức giấc,khỏi
chuyện gì đã xảy ra với cái,váy
mấy gã say ở hàng giặt khô đã phá hỏng,nó
cảm ơn,linus
được rồi lily anh phải đi,đây
anh phải cảnh báo với dân,làng
rằng có bọn viking trong số,họ
marshall đang đi qua vùng,wisconsin
,ừ
ồ đó là lời chúc mừng của cậu,à
ừ đúng,vậy
ừ tôi sẽ chỉ bịa ra mấy chuyện,thôi
vì nếu cậu lên,đó
và nói lời từ trái,tim
những lời tốt,đẹp
những lời từ,miệng
những lần kỉ,niệm
tôi có thể xem nó,không
à không,tôi
đi uống với học trò yêu thích của,mình
ngắm hoàng hôn cuối cùng ở,hudson
ted bài phát biểu của cậu dở,quá
ừ thì nó không phải là lời nói từ,miệng
những lần kỉ,niệm
nhưng nếu cậu phải,biết
nó không phải là một bài phát,biểu
vậy thì nó là,gì
một tuần trước đám,cưới
bố nhận ra,rằng
bố không thể ở new york,nữa
vì vậy bố đã quyết,định
bắt đầu lại từ đầu ở,chicago
đó là danh sách tất cả những,thứ
tôi muốn làm trước khi rời new,york
được rồi tôi không,biết
tôi ghét chuyện nào,hơn
chuyện cậu sắp chuyển,đi
hay chuyện tôi là người duy,nhất
biết việc,này
sao cậu không nói với,ai
cậu không thể thả một quả bom như,thế
gần ngày đám cưới như,vậy
không đó là lời biện,hộ
cậu đã tránh mặt barney và,robin
từ sự việc ở chỗ đu,quay
và bây giờ vào thứ,hai
cậu sẽ chạy trốn tới,chicago
tôi không chạy,trốn
tôi sẽ bước,tiếp
danh sách này không được viết bởi,người
đã sẵn sàng bước,tiếp
nó được viết bởi một người yêu new,york
ý tôi là sửa bức,graffiti
ở đường 96 và,amsterdam
tôi ghét nhìn thấy,nó
anh cái,ấy
anh là cái,ấy
mời cả quán rượu một,chầu
thứ bảy 11 23,tối
này mọi người chầu tới tôi,mời
,tuyệt
,ted
này mọi,người
chầu tới tôi,mời
thứ ba 10 06,sáng
cho tôi thêm gấp đôi rượu,bourbon
không gấp,đôi
nói tạm biệt với tòa nhà empire,state
anh,bạn
sao,nào
thỉnh thoảng tôi,đi
nói với cô ấy về cuộc,sống
và anh chỉ ghét ý nghĩ rời xa em,empy
nhưng linh tính cho,biết
tương lai của anh là ở,chicago
em nghĩ thế,nào
anh cần phải,đi
ôi chúa ơi thật,sao
em có chắc,không
vâng tôi,chắc
anh không thể chỉ đứng đó nói,chuyện
và vuốt ve một tòa,nhà
chờ đã hay anh là một tên quái,dị
thấy hứng tình với các tòa,nhà
một người hứng tình với các vật,thể
không đời,nào
vậy tại sao anh biết chúng gọi là,gì
tại sao cậu biết chúng gọi là,gì
chờ đã anh biết điều gì sẽ chứng,minh
ta không như mấy cặp đôi,già
làm chuyện đó ở nơi ta không được,phép
không ý em không phải,vậy
như thang máy hoặc nhà chòi bể,bơi
ừ vậy còn mái nhà thì,sao
ai lại cưới nhau xa thế này,chứ
và độ,ẩm
họ ở,đây
họ ở,đây
em cảm thấy sao nếu,ta
chơi một trận trong,phòng
,ừ
chúng ta bị khóa ngoài,rồi
em đoán ta có thể thử cửa,sau
cửa sau phòng,mình
có một cái cửa,sau
không anh đã khóa,rồi
được rồi không,sao
ta sẽ chạy xuống bàn lễ,tân
và lấy chìa khóa trước khi ai đó chú,ý
quá muộn như thể chúng,ta
đang trong một bộ phim,zombie
thật đấy họ di chuyển chậm,chạp
họ rên rỉ rất nhiều và nếu có cơ,hội
họ hành hạ lỗ tai,anh
nhưng họ là gia đình em yêu,họ
trí khôn họ vô,giá
nói với hàng xóm tầng,trên
cảm giác của mình suốt thời gian,qua
,ừ
chào tôi sống ở tầng,dưới
và tôi luôn,muốn
nói điều này với cô,nhưng
tôi chưa bao giờ có đủ can,đảm
nên giờ là,lúc
giày của cô làm bằng chì,à
bởi vì cô là hàng xóm tầng,trên
ồn ào nhất trong lịch,sử
à và cô chơi trống bongo dở,tệ
nhưng mà này cứ luyện tập,đi
giữa đêm,khuya
trước mọi buổi phỏng vấn quan,trọng
của,tôi
thú nhận chuyện ngày 26 tháng,4
điều gì đã xảy ra vào ngày 26 tháng,4
cậu có thể tin được mọi,người
từng mặc cái đó để bơi,không
gặp tôi ở đảo coney,nhé
tôi sẽ nhảy điệu,charleston
trên chiếc xe đạp bánh khổng,lồ
ở thời kì khi người,ta
nói chuyện một cách khó hiểu thế,này
,ted
ngày 26 tháng 4 12 44,chiều
,ôi
,chào
chào anh bạn tôi định,mang
váy cho bữa tối diễn tập của,lily
đi giặt,khô
ồ tệ,quá
bởi vì tôi đang xem the princess,price
thì một ý nghĩ hiện ra trong,đầu
cảnh cuối khi andre khổng,lồ
lên cương cho mấy chú,ngựa
và sau đó inigo montoya như,kiểu
fezzik anh đã làm một chuyện,đúng
nó giống như,kiểu
người anh em andrea luôn,làm
những chuyện đúng đắn suốt cả,phim
giết rắn độc đạp đổ cửa lâu,đài
cơ bản là luôn giúp đỡ cho kẻ,luôn
đầy hận thù và đầy mùi sangria như,anh
vì vậy thay vì là một tên khốn kiêu,căng
sao không chỉ nói đơn giản,là
này cảm ơn về mấy con ngựa anh,bạn
đó là tất cả những,gì
cậu nghĩ phải,không
không tôi đến,để
chúa ơi quan điểm rất,hay
,ừ
nhưng ý tôi là cái,này
và ý cậu,đây
sao lâu rồi chúng ta không làm trò,này
ted cậu biết,rõ
vì sao chúng ta không,làm
xin,lỗi
xin,lỗi
tôi suýt nữa đã giết vợ tôi,ted
tôi suýt nữa đã giết vợ,tôi
tôi,suýt
,chào
ta là inigo,montoyana
ngươi đã giết cha,ta
chuẩn bị chết,đi
chuẩn bị chết,đi
tên khốn,kiếp
tôi thích cái váy mà cậu đã cắt làm,đôi
đó là sự kết hợp hoàn,hảo
giữa hư hỏng và trang,nhã
vậy còn váy dự phòng của,cậu
ồ nó chỉ trang nhã thôi,ted
cảm ơn,linus
nghe này tôi thật sự xin,lỗi
không như thế là chưa,đủ
vì tôi bị bắt mặc thứ tôi không,muốn
nên cậu phải mặc thứ cậu không,muốn
tại sao tôi là người duy nhất bị,phạt
marshall cũng có,lỗi
về váy của cậu như,tôi
ừ nhưng anh ấy đang ở,wisconsin
làm thế nào tôi có thể,phạt
cười lên,nào
cố lên,pack
con xin lỗi,bố
phải có chỗ nào để quan hệ quanh đây,chứ
anh đói anh đã,biết
lẽ ra ta nên ăn buffet,khi
đừng nói,buffet
nó thu hút người,già
cũng y như phiếu giảm,giá
60 phút và mandy,patinkin
robin em đang hoang tưởng,đấy
người già không thể cảm nhận,được
khi em nói mandy,patinkin
,patinkin
nhanh nào phòng đông,lạnh
trong đó quá lạnh cho,họ
anh sẽ bảo vệ em,robin
em sẽ luôn an toàn khi ở bên,anh
bắt cô ấy,đi
hai đứa khốn bọn,em
nên biến khỏi chỗ nấp của,anh
việc duy nhất chưa được hoàn,thành
trong danh sách này,là
uống rượu scotch với,barney
đây là điều dễ nhất trong danh,sách
cậu đang tránh cậu,ấy
tôi không có cả hai bọn tôi đều đang,bận
ngoài ra marshall và tôi đang để,dành
chai rượu,scotch
để uống với,barney
trước buổi tối diễn,tập
bởi vì nó không chỉ là một chai,rượu
nó là chai mckenna 30 năm,tuổi
giá 600 đô,la
lúc đó bố đã không,biết
ngày 26 tháng 4 2 14,chiều
tôi đã nói với mấy tên ngốc,đó
mấy thứ chết chóc này không được ở,đây
sao đàn ông thích kiếm thế,nhỉ
ồ cái này hay,đấy
ừ và nó rất ngầu khi tôi làm thế,này
chào tên ta là rodrigo,degoya
ngươi đã giết người ta,yêu
sẵn sàng để nhảy,đi
ừ các con cô lily của các,con
đã nghĩ lời thoại là như,thế
chúng ta sẽ đổi,nó
với chai rượu whiskey rẻ tiền,này
cậu gỡ nhãn glen mckenna,ra
làm ngay,đây
sau đó chúng ta sẽ rót,robin
chết tiệt uống ngon,thật
rót nó vào chai này,đi
khoan đã màu không đủ,tối
vẫn chưa,đúng
tôi nghĩ nó đỏ hơn,chút
giờ thì màu không đều,lắm
được,rồi
trông ngon,đấy
ý tôi là hãy nhìn vào màu,sắc
nó gần như là màu sô cô la hoàn,toàn
có chút hơi,đỏ
có thứ gì đó hơi,gợn
ừ tôi đọc về nó,rồi
không phải vùng cao,nguyên
nổi tiếng vì gợn,sao
cảm ơn,lily
tôi hiểu rất rõ về gợn vùng cao,nguyên
cậu biết không tôi nghĩ tôi sẽ nếm,thử
sao nhưng marshall vẫn chưa tới,đây
nếm một chút không sao,cả
tuyệt,vời
anh cũng đang trốn gia đình,sao
anh đồng tính anh da,đen
và anh sắp ly,hôn
mấy bộ xương biết đi,đó
sẽ có nhiều câu hỏi cho,anh
hơn cả cho dược sĩ của,họ
nhưng họ là gia đình và anh yêu,họ
thế hệ tuyệt vời,nhất
giết em trước khi em già thế,đi
hai đứa đang làm gì,thế
bọn tôi đang cố quan hệ ở nơi hư,hỏng
ý tôi không phải,vậy
đó không bao giờ là ý của,tôi
bọn em đang cố tận hưởng lần quan hệ,cuối
vì bọn em sợ rằng điều kỳ,diệu
sẽ tan biến sau khi kết,hôn
bọn tôi có điên,không
đó là việc đã xảy ra giữa anh và,tom
nhưng không có,nghĩa
nó sẽ xảy ra với hai,đứa
anh sẽ không để nó xảy,ra
anh không thể ra ngoài,đó
như thế là tự,sát
xem nó là quà cưới sớm cho hai,đứa
tại sao người anh luôn chết,trước
dì,muriel
dì,muriel
dì,muriel
,james
tom đâu,rồi
dì có một câu hỏi đồng tính cho,cháu
làm thế nào cháu quyết định ai,sẽ
,không
,không
anh ấy đi rồi,barney
,james
được rồi anh đi kiểm tra tầng,hai
xem có phòng trống không,nhé
em sẽ kiểm tra phòng,tập
không phòng tập đó có phòng tắm,hơi
em biết bố sid của,anh
không chịu nổi mười phút không tắm,hơi
vậy vọng lâu phía sau thì,sao
ngay cạnh sân cỏ bowling,sao
thông minh lên,đi
có vẻ họ đang tuyển,người
cho cocoon 3 ở,đó
à vậy còn trung tâm kinh,doanh
căn phòng toàn máy tính hoàn,hảo
công nghệ chính là điểm yếu của,họ
,sao
an toàn nhé tàu,r
anh cũng vậy b hư,hỏng
ôi trời tôi đã tìm thấy,waldo
đây là danh sách gì,thế
nó của ai,thế
bố đã đứng trước một lựa chọn,khó
thú nhận về việc đi,chicago
hay nói dối một cách khôn,ngoan
để cho qua vụ,này
à thì em thấy,đó
lời nói từ,miệng
những lần kỉ,niệm
của tôi đó là danh sách của,tôi
đó là những thứ tôi muốn,làm
trước khi tôi đi,ý
ồ cậu muốn chào tạm,biệt
tòa nhà empire,state
đôi khi tôi đến và nói chuyện với,empy
chuyện đó hơi kì,dị
kì dị có phải là từ đúng,không
có vẻ khá hợp lý với,anh
thậm chí còn hơi,ngầu
uống với học trò yêu quý của,mình
lily cậu dạy lớp mầm non,mà
đúng là nghe khá vô trách,nhiệm
thú nhận về ngày 26 tháng,4
cậu đã kể cho ted về trận đấu kiếm của,ta
chờ đã hai người đã đấu,kiếm
có lẽ là trận nhỏ,thôi
tôi đã giả vờ là mandy,patinkin
,patinkin
không có gì to tát,đâu
không to,tát
chúng ta đã phá,hỏng
chai glen mckenna 30 năm tuổi của,họ
và thay bằng rượu rẻ tiền tương,cà
và nước rửa,tay
anh biết,mà
cậu không biết gì,cả
chào,anh
tầng ba rất vắng,vẻ
rất nhiều phòng trống để làm,việc
nhanh lên anh bắt đầu trước em,rồi
ý anh là anh yêu,em
tôi phải đi tạm,biệt
chúng ta làm được,rồi
nhắc tôi bỏ năm đô,la
vào thiệp cưới của,barney
ông biết đấy để chúng có,vốn
không,elizabeth
cứ để nguyên hàm răng,giả
không bao giờ muốn quan hệ,nữa
không bao giờ muốn quan hệ,nữa
họ đã làm vỡ chai rượu,scotch
600 đô la của bọn,mình
vậy tôi không đội thứ đáng ghét này,nữa
đội lại,đi
em không tin được các cụ cố của,em
vẫn làm chuyện,đó
anh chưa từng tưởng tượng cái,gậy
được dùng cho mục đích khác ngoài đi,bộ
hơn nữa còn mấy hòn bi kéo khắp,sàn
,barney
không bi tennis phía dưới cây,gậy
thêm nữa mấy trái bi của ông,ấy
đưa qua lại như cái yo yo bị,hỏng
nhưng khi anh nghĩ về,nó
cưới nhau 60 năm,rồi
và họ vẫn muốn nhào vào,nhau
ý em là thật ngọt,ngào
sau 60 năm,nữa
đó sẽ là chúng ta phải,không
ừ sẽ như,vậy
vậy thì anh nghĩ thế,nào
đếm từ một đến ba,nhé
được,thôi
được,rồi
một hai,ba
một hai,ba
mandy,patinkin
mandy,patinkin
,chà
nhìn mọi người,kìa
cảm ơn mọi người đã,đến
chúng ta gặp may,rồi
cửa hàng rượu,farhampton
thật ra lại khá cao,cấp
và an ninh của họ thì chỉ là trò,cười
cảm,ơn
và cảm ơn vì đã không nói cho robin,biết
danh sách đó là của,tôi
nhưng tôi không,hiểu
cậu rất phản đối việc tôi chuyển,đi
sao cậu lại giúp,tôi
đối với một người yêu new,york
nhiều thế,này
để bỏ nó mà,đi
cậu chắc thật sự cần phải đi,nhỉ
ừ tôi thật sự cần phải,đi
ừ nhưng mà vẫn còn một thứ chưa,làm
trong danh sách,này
đã đến lúc để,làm
ừ có lẽ tôi nên đợi,marshall
chúng ta đều biết có thể anh,ấy
sẽ không đến kịp,lúc
nói thật,đi
có phải cậu đang tránh né,barney
có thể có một,chút
đây là cuối tuần quan trọng,nhất
trong đời cậu,ấy
và cậu là bạn thân nhất của cậu,ấy
cho dù cậu có cảm thấy khó xử thế,nào
nếu cậu không ở bên cạnh cậu,ấy
cậu sẽ phải hối,hận
này,ted
,ừ
cậu đã viết những thứ này để tạm,biệt
nhưng rất nhiều thứ trong số,đó
là việc,tốt
sao,không
tạm biệt những chuyện buồn,thôi
tạm biệt những lúc cậu cảm thấy lạc,lối
những lúc nhận được câu trả,lời
không thay vì là,có
những vết thương và vết,bầm
những vết nhói trong,tim
tạm biệt những,thứ
cậu thực sự muốn làm lần cuối,cùng
nhưng đừng,uống
ly scotch cuối cùng với,barney
hãy uống ly scotch đầu,tiên
chúc phúc cuộc sống mới của,barney
vì đó là điều,tốt
và những điều,tốt
sẽ luôn mãi ở đây chờ,cậu
cái,gì
lật sang trang,đi
nghe bài giảng cuộc sống cuối của,lily
cứ mơ đi nếu cậu nghĩ đó,là
bài giảng cuối,cùng
đã chờ mãi khoảnh khắc hoàn,hảo
cho thứ,này
và bạn tôi khoảnh khắc,đó
tôi đã thấy cậu và robin ở chỗ đu,quay
,1
thứ,sáu
3 00,chiều
51 tiếng trước lễ,cưới
các con hai,ngày
trước đám cưới của barney và,robin
mọi thứ đang diễn ra rất suôn,sẻ
đã chờ mãi khoảnh khắc hoàn,hảo
cho thứ,này
và bạn tôi khoảnh khắc,đó
tôi đã thấy cậu và robin ở chỗ đu,quay
được rồi đã có một vấn đề,nhỏ
một tuần,trước
cô ấy gọi tôi đến,giúp
và cậu ở,đó
trong cơn,mưa
nắm tay vợ sắp cưới của,tôi
chuyện gì,đây
không có gì lên,cả
mọi thứ trên người tôi đều chĩa,xuống
nghe này cậu,bận
nên tôi đến công viên giúp cô ấy,tìm
sợi dây cô ấy chôn nhiều năm,trước
cô ấy không tìm được cô ấy,buồn
tôi nắm tay cô ấy câu chuyện kết,thúc
tốt tôi chỉ muốn mọi chuyện rõ,ràng
cậu biết đó giữa anh em với,nhau
cậu là bạn thân nhất và là phù rể của,tôi
tất nhiên là tôi tin,cậu
ôi thôi,nào
